lesion,cluster_id,sign,ch_lo,ch_hi,depth_lo,depth_hi,f_lo,f_hi,n_bins,mass,p_cluster,median_log2fc,band_hint
L6_L4C,14,-1,Ch6-Ch5,Ch6-Ch5,-0.115,-0.115,96.44,97.66,3,-12.927,0.0210,-1.4012,high_gamma
L6_L4C,15,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,4.88,7.32,5,-26.677,0.0060,-1.7409,theta
L6_L4C,16,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,17.09,18.92,4,-13.947,0.0170,-1.0364,beta
L6_L4C,17,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,21.36,24.41,6,-21.973,0.0080,-1.0886,beta
L6_L4C,18,-1,Ch7-Ch6,Ch7-Ch6,+0.030,+0.030,75.07,76.29,3,-11.600,0.0330,-1.1285,high_gamma
L6_L4C,19,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,4.88,6.10,3,-15.984,0.0140,-1.3888,theta
L6_L4C,20,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,8.54,15.26,12,-57.090,0.0040,-1.5833,multi
L6_L4C,21,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,16.48,18.92,5,-21.138,0.0090,-1.4700,beta
L6_L4C,22,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,21.36,28.69,13,-55.544,0.0040,-1.3603,beta
L6_L4C,23,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,31.74,32.96,3,-10.393,0.0440,-1.4289,low_gamma
L6_L4C,24,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,34.79,36.01,3,-13.086,0.0200,-1.5811,low_gamma
L6_L4C,25,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,66.53,67.14,2,-10.247,0.0460,-1.1883,high_gamma
L6_L4C,26,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,68.36,70.80,5,-20.800,0.0090,-1.5996,high_gamma
L6_L4C,27,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,72.63,87.28,25,-118.930,0.0030,-1.6639,high_gamma
L6_L4C,28,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,90.33,93.99,7,-30.129,0.0060,-1.4017,high_gamma
L6_L4C,29,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,95.21,98.88,7,-27.039,0.0060,-1.5170,high_gamma
L6_L4C,30,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,3.05,29.91,45,-343.886,0.0010,-2.6234,multi
L6_L4C,31,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,61.65,62.87,3,-11.693,0.0330,-1.3137,high_gamma
L6_L4C,32,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,64.09,90.94,45,-257.365,0.0010,-1.8842,high_gamma
L6_L4C,33,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,92.16,97.05,9,-44.761,0.0050,-1.5692,high_gamma
L6_L4C,34,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,4.27,7.32,6,-35.185,0.0060,-1.7686,theta
